id	source_japanese	target_english	target_chinese	target_vietnamese
handbook-098	しかるべく。	No, your honor. Please proceed. 	没有反对意见。	Thưa không, xin tòa tiếp tục. 
handbook-099	それでは、Aを証人として採用します。	The court admits A as a witness. 	那么，将A作为证人采用。	Tòa chấp thuận cho (ông, bà) A làm nhân chứng. 
handbook-100	ただいまから、あなたをこの事件の証人として尋問しますから、まずうそをつかないという宣誓をしてください。	You are going to be examined as a witness for this case. Before testifying, please take an oath that you will not lie. 	现在开始把你作为这一案件的证人进行询问，先请你宣誓不说谎言。	Tòa sẽ hỏi quí vị với tư cách là nhân chứng của vụ án này. Trước khi trình bày, xin nhân chứng hãy tuyên thệ là không được nói dối.
handbook-101	その宣誓書を朗読してください。	Please read aloud this oath. 	请你宣读那份宣誓书。	Hãy đọc to lời tuyên thệ. 
handbook-102	宣誓 良心に従って真実を述べ、何事も隠さず、偽りを述べないことを誓います。	I swear, according to my conscience, that I will speak the truth, not to conceal anything and not to speak falsely. 	宣誓:我凭良心讲述真实，不隐瞒任何事，不说谎言，特此宣誓。	Tôi xin tuyên thệ trước lương tâm mình là sẽ nói sự thật, không che dấu điều gì và không nói dối. Nhân 
handbook-103	証人A。	Witness A. 	证人A。	chứng A. 
handbook-104	証人は、今宣誓したように本当のことを証言してください。	As a witness, you are required to testify the truth as you have sworn.	请证人如刚才宣誓的那样，作证时要讲述真实。	Với tư cách là nhân chứng, xin quí vị hãy nói thật như đã tuyên thệ, nếu nói dối nhân chứng sẽ bị phạt về tội làm chứng gian. 
handbook-105	もし宣誓した上で虚偽の証言をすると、偽証罪で処罰されることがあります。	You are now under oath. You may be punished for perjury if you give any false testimony. 	如果在宣誓之后证言有虚假，将会被伪证罪论处。	Tòa xin nhắc là nhân chứng có quyền từ chối trả lời các câu hỏi nếu thấy các câu hỏi đó có thể làm cho nhân chứng hoặc người thân của nhân chứng chịu sự truy tố hình sự, hoặc có tội lây. 
handbook-106	証人が証言することによって証人自身又は証人の近親者が刑事訴追を受けたり、有罪の判決を受けるおそれのある事柄については、証言を拒むことができますから、その場合には申し出てください。	You are also advised of your right to refuse to answer questions on the grounds that it may incriminate you or your relatives. Please tell the court if this arises. 	证人作证而可能使证人本人或者证人的近亲受到刑事追诉，或有可能被判为有罪时，可以拒绝作证。届时请提出。	Hãy cho tòa biết nếu có trường hợp đó. 
handbook-107	弁護人のただいまの発問は、誘導尋問ですから、異議を申し立てます。	Objection! Defense Counsel is giving a leading question to the witness. 	刚才辩护人的提问是诱供，我提出异议。	Xin phản đối vì luật sư đã đặt câu hỏi mớm lời cho nhân chứng.
handbook-108	反対尋問においては、誘導尋問も許されるので、検察官の異議の申立ては、理由がないと思料いたします。	Your honor, leading questions are permitted during cross-examination. I think the prosecutor's objection is groundless. 	在作反询问时，是允许诱供的，我认为检察官的申述异议是没有理由的。	Việc đặt câu hỏi mớm được cho phép khi “chất vấn đối nghịch”, vì thế theo tôi sự phản đối của kiểm sát viên là không có lý do. 
handbook-109	異議を棄却します。	Objection overruled. 	驳回异议。	Tòa bác bỏ lời phản đối. 
handbook-110	証人尋問を終わります。	Examination of you as a witness is completed.	对证人的询问到此结束。	Việc chất vấn quí vị với tư cách nhân chứng đến đây là chấm dứt. 
handbook-111	証人は、お疲れさまでした。	Thank you very much. 	证人辛苦了。	Thành thật cám ơn nhân chứng. 
handbook-112	本件に被告人に対する平成○○年(わ)第○○号強盗被告事件を併合して審理します。	The court consolidates the charge against the defendant for robbery (XXXX (WA) No. ) with the present charge. 	决定将被告人的○○年(打)第○○号抢劫案与本案合并审理。	Tòa gộp những cáo trạng về tội trộm cướp của bị cáo trong vụ án số ...... (WA) năm ...... vào tội trạng vụ án hiện nay.
handbook-113	起訴状記載の訴因を「被告人はしたものである。」と、罪名及び罰条を「窃盗 刑法235条」とそれぞれ変更の請求をします。	The prosecution requests that the count in the charging sheet be altered to "the defendant....," and the name of the offense and the penal statutes applicable thereto be altered to "theft, Article 235 of the Penal Code," respectively. 	申请分别将起诉书上记载的诉因变更为“被告人是做......的人”;罪名以及处罚条款变更为“盗窃刑法第235条”。	Chúng tôi yêu cầu: nguyên nhân chính cấu thành tội phạm ghi trong bản truy tố được đổi thành “Bị cáo.............. ...”; tội danh được đổi thành “tội ăn cắp” và điều phạt được đổi thành “điều 235 luật hình sự”. 
handbook-114	検察官の請求に異議ありません。	I have no objections, your honor. 	对于检察官的申请无异议。	Tôi không phản đối. 
handbook-115	訴因及び罰条等の変更を許可します。	These alterations are so allowed. 	批准关于诉因以及处罚条款等的变更。	Tòa chấp thuận những thay đổi trên. 
handbook-116	今後の審理においては、平成○○年6月20日付け起訴状記載の公訴事実第1の被害者のことを「被害者A」と、同年7月10日付け追起訴状記載の被害者のことを「被害者B」と呼ぶこととします。	In the proceedings hereafter, the victim mentioned in Charged Fact I of the charging sheet, dated June 20, XXXX, shall be called Victim A, and the victim mentioned in the additional charging sheet, dated July 10, XXXX, shall be called Victim B, respectively. 	在今后的审理中，将○○年6月20日的起诉书记录的公诉事实中的第1受害人称为“受害人A”，同年7月10日的追诉书记录的受害人称为“受害人B”。	Từ giờ trở đi trong phiên xử, danh xưng của nạn nhân theo hành vi truy tố thứ nhất của bản khởi tố ngày 20 tháng 6 năm.....sẽ là “nạn nhân A”, và nạn nhân trong bản khởi tố bổ xung ngày 10 tháng 7 cùng năm sẽ là “nạn nhân B”. 
handbook-117	本日、被害者Aさんから被害者参加の申出がありました。	Today, Victim A applied for participation in the proceedings.	今天，受害人A提出了受害人参加的申请。	Hôm nay đã có lời yêu cầu từ nạn nhân A muốn tham gia với tư cách nạn nhân. 
handbook-118	検察官としては、相当であると考えます。	The prosecution considers his/her participation to be appropriate. 	作为检察官，我认为这是合理的。	Trên cương vị kiểm sát viên, tôi thấy điều yêu cầu này hợp lý. 
handbook-119	弁護人の御意見はいかがですか。	Defense Counsel, do you have any objections? 	辩护人有什么意见吗?	Ý kiến của luật sư thế nào? 
handbook-120	しかるべく。	No, your honor. Please proceed. 	没有反对意见。	Thưa không có vấn đề gì. 
handbook-121	申出人の本件被告事件の手続への参加を許可します。	The court permits the applicant to participate in the proceedings of this case. 	允许申请人参加本案被告案件的手续。	Tòa chấp thuận sự tham gia của nạn nhân. 
handbook-122	被害者の方からの心情その他の意見陳述を行います。	The court now allows the victim to state his/her sentiment and other opinions. 	开始由受害人陈述心情及其他意见。	Sau đây là phần phát biểu tâm trạng của nạn nhân và các ý kiến khác. 
handbook-123	では、被害者の方は証言台に進んで、その意見を陳述してください。	(To the victim) Please step forward to the box, and make your statement. 	下面，请受害人到证言台陈述意见。	Xin mời nạn nhân tiến lên phía trước phát biểu ý kiến. 
handbook-124	私は、被告人に殴られて、半年も入院しました。	I was beaten by the defendant and was hospitalized for as long as six months.	我遭到被告人殴打，住院时间长达半年。	Tôi đã bị bị cáo đánh, phải nằm bệnh viện nửa năm. 
handbook-125	その間、身体の自由が利かず、仕事もできず、とてもつらい思いをしました。	During this period, I went through a hard time because I was unable to move around or go to work. 	这段时期，身体行动不便，无法工作，非常痛苦。	Trong thời gian đó, người tôi không thể cử động một cách tự nhiên, cũng không làm việc được, thật là khổ sở. 
handbook-126	被告人のことは、絶対に許せません。	I will never forgive the defendant. 	我绝不能原谅被告人。	Hành động của bị cáo không thể tha thứ. 
handbook-127	検察官が今読んだ事実について何か述べることはありますか。	Do you have anything to say in response to the facts just read by the prosecutor ? 	对于检察官刚才宣读的事实，有没有什么意见?	Bị cáo có điều gì phát biểu đối với các sự việc mà kiểm sát viên vừa đọc không? 
handbook-128	間違いありません。	The facts are true in their entirety. 	事实没有错。	Dạ, đúng như thế. 
handbook-129	事実は間違いないということですが、この事実について、有罪であるとして処罰されても構わないということですか。	Do you mean that you will accept conviction and punishment for the charged facts? 	你说与事实没有错误，那就是说判你有罪，进行处罚也没有异议对吗?	Bị cáo đã cho biết là đúng như thế, thế thì nếu tòa xử phạt bị cáo có tội dựa theo những sự việc này cũng không có vấn đề gì phải không? 
handbook-130	はい。	Yes.	是的。	Dạ vâng. 
handbook-131	弁護人の御意見は。	What is your opinion, Defense Counsel ? 	辩护人的意见呢?	Ý kiến của luật sư thế nào? 
handbook-132	被告人の陳述と同様です。	I agree with the defendant. 	与被告人的陈述一致。	Dạ giống như phát biểu của bị cáo. 
handbook-133	本件については、検察官から即決裁判手続の申立てがされています。	The prosecutor has petitioned that this case should be processed through the expedited trial procedure.	关于本案，检察官提出了当场判决手续的申请。	Trong vụ án này, kiểm sát viên đã có yêu cầu tiến hành thủ tục tuyên án ngay sau khi xét xử. 
handbook-134	被告人、弁護人は即決裁判手続によることについて同意しており、被告人は有罪である旨の陳述をしていますので、本件を即決裁判手続によって審判することとします。	As the defendant and his/her defense counsel have consented to this and the defendant has entered a guilty plea, the court decides to hear this case through the expedited trial procedure. 	由于被告人，辩护人同意了当场判决手续，被告人也进行了陈述，表示有罪，所以决定根据当场判决手续审判本案。	Bị cáo, luật sư cũng đã đồng ý, bị cáo cũng đã nhận là có tội. Vì thế vụ án sẽ được xét xử theo thủ tục tuyên án ngay sau khi xét xử. 
handbook-135	では、証拠調べに入ります。	Now, the court moves on to the examination of evidence.	下面，开始调查证据。	Bắt đầu vào phần điều tra chứng cớ. 
handbook-136	検察官、証拠調べ請求をお願いします。	Prosecutor, please make a request for examination of evidence.	请检察官提出调查证据的请求。	Xin mời kiểm sát viên yêu cầu tiến hành phần điều tra chứng cớ. 
handbook-137	本件公訴事実を立証するため、証拠等関係カード(甲)(乙)記載の各証拠の取調べを請求します。	To prove the facts charged in this case, I request the court to admit the evidence listed in the Evidence Card(s), A and B. 	为了证实本案公诉事实，我请求调查有关(甲)(乙)证据卡上所记载的各项证据。	Để xác minh những hành vi của vụ án, xin tòa cho kiểm tra các chứng cớ ghi trong các bảng chứng cớ A và B. 
handbook-138	弁護人、いかがですか。	Defense counsel, do you have any objections? 	辩护人的意见如何?	Ý kiến luật sư thế nào? 
handbook-139	いずれも、証拠とすることに異議はありません。	No, your honor, we consent to all of the evidence as admissible. 	对于证据没有任何异议。	Chúng tôi không phản đối.
handbook-140	検察官、御意見を伺います。	Prosecutor, please make your closing argument.	检察官，请发表意见。	Đề nghị kiểm sát viên phát biểu luận cứ kết thúc. 
handbook-141	検察官がこの事件に対する意見を述べますので、被告人は聞いていてください。	Defendant, please listen to the prosecutor's closing argument. 	检察官将发表对这一案件的意见，被告人请听着。	Xin bị cáo hãy nghe phát biểu luận cứ kết thúc của kiểm sát viên.
handbook-142	それでは論告いたします。	We would like to make the closing argument. 	下面宣读论罪求刑。	Xin phát biểu luận cứ kết thúc. 
handbook-143	まず、事実についてですが、本件公訴事実は、当公判廷で取り調べられた関係各証拠によって証明十分と思料します。	To begin with, concerning the facts in this case, we are convinced that the facts constituting the crime charged in this case have been sufficiently proven by the evidence that has been examined in this court. 	首先，有关案件事实。我认为根据本公开法庭审理的各项有关证据已充分证明了本案的公诉事实。	Đầu tiên, về hành vi của vụ án. Những hành vi buộc tội bị cáo đã được khẳng định rõ ràng qua các chứng cớ được xác minh tại phiên tòa. 
handbook-144	情状について申し上げます。本件は、被告人が、金を稼ぐ目的で、当初から不法に残留することを予定して入国し、2年余りにわたって不法に残留した事案であり、その残留期間の長さなどを考えると、被告人の刑事責任は重大であります。	Concerning the circumstances surrounding this case, the defendant entered Japan for the purpose of earning money, planned from the beginning to stay in this country beyond the period of time allowed under his/her status of residence, and stayed here unlawfully for more than two years. Considering the length of his/her unlawful stay, the defendant's criminal responsibility is heavy indeed. 	下面谈一下一般情节。本案是被告人以赚钱的目的，从一开始就准备非法居留而入境，之后，又非法居住了2年多的事案。考虑到其非法居留期间的长期性，我认为被告人的刑事责任是重大的。	Về bối cảnh của vụ án. Với mục đích kiếm tiền, ngay từ đầu bị cáo đã vào Nhật với ý định ở lại Nhật bất hợp pháp và trở thành vụ án cư trú bất hợp pháp kéo dài suốt 2 năm. Nếu nghĩ đến khoảng thời gian dài lưu trú bất hợp pháp thì trách nhiệm hình sự của bị cáo rất nặng. 
handbook-145	求刑ですが、以上諸般の事情を考慮し、相当法条適用の上、被告人を、懲役1年6月に処するのを相当と思料します。	In light of the above circumstances, applying the relevant laws, we consider imposing a sentence of one year and six months imprisonment with work to be appropriate in this case. 	求刑，考虑以上的各种情况，运用有关的法律条文，我认为应当判处被告人有期徒刑1年零6个月。	Với những điểm vừa trình bày, áp dụng luật pháp hiện hành, chúng tôi đề nghị mức án tương đương cho bị cáo là tù giam 1 năm 6 tháng phải lao động. 
handbook-146	では、弁論としての意見陳述をお願いします。	Please state your opinion. 	下面，请做辩论意见陈述。	Xin mời nạn nhân phát biểu phần luận cứ 
handbook-147	この事件の被害者参加人として、私の意見を述べます。	I state my opinion as a victim of this case. 	作为本案件的受害人参加者，我陈述一下自己的意见。	Là một nạn nhân được tham gia vụ án này, tôi xin được trình bày: 
handbook-148	被告人は、何の関係もない私に対し、いきなり言い掛かりをつけ、その後、急に殴りかかってきました。	The defendant abruptly picked a quarrel with me for no reason, and then attacked me all of a sudden.	本来我与被告人毫无关系，他却突然寻衅，并突然殴打我。	Bị cáo là người hoàn toàn không quan hệ với tôi, đột nhiên tìm cớ gây sự, bất ngờ đánh tôi. 
handbook-149	このため、私は1か月もの入院を余儀なくされるほどの重傷を負いました。	From his/her attack, I was seriously injured and forced to be hospitalized for as long as one month.	我因此受重伤，甚至不得不住了1个月医院。	Vì thế, tôi bị thương nặng phải nhập viện đến 1 tháng. 
handbook-150	入院中は身体の自由が利かず、本当につらい思いをしました。	During this period, I went through a hard time because I was unable to move around. 	住院期间，身体动不了，真的很痛苦。	Trong thời gian nhập viện, người tôi không cử động tự do được, thật là khổ sở. 
handbook-151	被告人は、私にも落ち度があるなどといって謝罪すら行わず、また、慰謝料はおろか、入院費用さえも支払っていません。	The defendant even refused to apologize, arguing that there was also fault on my part, and he/she has not paid my hospital expenses, let alone any consolation money. 	被告人说我也有错，所以没有向我道歉，而且，不要说慰问金了，连住院费也没有支付。	Bị cáo đã cho tôi là người có lỗi, không xin lỗi. 
handbook-152	このような被告人のことは、どうしても許せません。	I can never forgive the defendant.	对于这样的被告人，我无论如何都不能原谅他。	Tiền bồi thường đã không trả, và ngay cả các phí khoản nhập viện cũng không chịu trả. 
handbook-153	私は、被告人を懲役4年の刑にしてほしいと思います。	I want him/her to be punished by imprisonment with work for four years. 	我希望判处被告人4年徒刑。	Tôi không thể tha thứ những hành động của bị cáo, tôi muốn bị cáo phải chịu 4 năm tù giam phải lao động.
handbook-154	弁護人の御意見を伺います。	Defense Counsel, please make your closing argument. 	辩护人，请发表意见。	Xin luật sư cho biết ý kiến. 
handbook-155	では、被告人のため、弁論いたします。	I would like to make the closing argument for the defendant.	那么，下面我为被告人进行辩护。	Tôi xin phát biểu luận cứ kết thúc cho bị cáo. 
handbook-156	本件公訴事実に関しては、被告人は当公判廷においてもこれを素直に認めており、弁護人としてもこれに対し特段異議をとどめるべき点はございません。	Since the defendant has honestly admitted before this court the facts constituting the crime charged in this case, I, as his/her defense counsel, have no particular points of rebuttal regarding the facts. 	有关本案的公诉事实，被告人已在公审法庭上老实地承认了，作为辩护人对此没有特别要表示异议的地方。	Vì bị cáo đã thành thật thú nhận trước tòa những hành vi dẫn đến sự phạm tội trong vụ án này, nên với tư cách là luật sư bào chữa, tôi không thấy có điểm nào cần phản đối. 
handbook-157	被告人も当公判廷で供述したとおり、本件は弁解の余地のない違法行為であり、被告人自身、長期にわたる不法残留については十分反省し、国外に退去した後は2度と日本には来ないと供述しており、今後2度とこのような違法行為を繰り返さないことを誓っているものです。	As the defendant has said before this trial court, he/she is in clear violation of the immigration law and now regrets his/her long unlawful stay in this country. The defendant has stated that once deported, he/she will never come back to Japan, and has promised that he/she will never again violate this law in Japan. 	如被告人在公审法庭上供述的一样，这个案件的违法行为是没有辩解余地的，被告人已深刻地反省了自己长期地非法居留的行为，并供述在被遣送出境后，不准备再来日本，还发誓今后不再做这样的违法行为。	Như bị cáo đã phát biểu trước tòa, đây rõ ràng là hành vi vi phạm luật quản lý xuất nhập cảnh và hiện nay bị cáo rất lấy làm tiếc về thời gian cư trú trái phép tại Nhật. Bị cáo đã nói sau khi bị trục xuất sẽ không trở lại Nhật Bản lần thứ hai và hứa là sẽ không bao giờ tái phạm luật này. 
handbook-158	被告人の残留目的は、就労であり、それ以外の不法な目的を有していたものではありません。	The defendant's purpose for his/her unlawful stay in Japan was to find employment. He/She had no other illegal purpose. 	被告人的居留目的只是就劳，并没有其他非法的目的。	Mục đích cư trú bất hợp pháp tại Nhật Bản của bị cáo là để tìm việc làm chứ không có mục đích bất hợp pháp nào khác. 
handbook-159	現に、来日してから逮捕されるまでの間は、まじめに稼働しており、本件以外の犯罪を犯したこともなく、前科前歴はありません。	From the day of his/her arrival in Japan until his/her arrest, the defendant worked hard and violated no laws beside this case. He/she has no criminal record or arrest record. 	实际上，被告人自来日本到被逮捕的这段时间内，一直都是在认真地做工，除本案以外并没有犯过罪，也没有犯罪的前科和前历。	Kể từ ngày đến Nhật cho đến lúc bị bắt, bị cáo đã làm việc chăm chỉ và không hề phạm luật gì khác ngoài việc cư trú bất hợp pháp. Ngoài vụ án này, bị cáo cũng chưa hề có tiền án tiền sự nào khác. 
handbook-160	被告人は今回、逮捕、勾留、起訴という厳しい処分を受け、既に相当の期間の身柄拘束処分を受けており、十分な社会的、 経済的制裁を受けています。	In this case, the defendant has been subject to such severe proceedings as arrest, detention and prosecution. He/She has already been in custody for a fair amount of time, and thus he/she has been thoroughly sanctioned socially and economically. 	被告人这次受到了被逮捕，拘留，起诉的严厉处分，同时已经被拘留了相当的期间，我认为被告人已经充分受到了社会上的，经济上的制裁。	Trong vụ này, bị cáo đã phải chịu nhiều hình thức nghiêm khắc như bị tạm giam và bị truy tố. Bị cáo đã bị tạm giam một thời gian tương đối dài, và như vậy bị cáo đã bị trừng phạt đích đáng về mặt xã hội và kinh tế. 
handbook-161	以上の事情を併せ考慮されて、被告人に是非とも自力更生、再起の機会を与えていただきたく、執行猶予の寛大な判決を下されるよう、切にお願いする次第です。	In light of such circumstances, we sincerely ask the court to allow the defendant an opportunity to rehabilitate himself/herself within the community and start his/her life anew, by granting him/her suspension of execution of sentence. 	请综合考虑以上的情况，为了能够给被告人一次自我改造，重新做人的机会，我请求法官给予被告人缓刑的宽大的判决。	Suy xét những điều vừa trình bày trên, chúng tôi xin tòa cho phép bị cáo cơ hội làm lại cuộc đời, tự lực cánh sinh bằng cách cho bị cáo được hưởng án treo. 
handbook-162	被告人は、指輪を買うつもりだったのであり、窃盗の故意はなく、無罪です。	The defendant intended to purchase the ring in question, had no intention of stealing it, and is therefore not guilty of theft.	被告人原准备买戒指的，没有盗窃的故意，是无罪的。	Bị cáo đã có ý định mua chiếc nhẫn đó, và không cố ý ăn cắp, nên bị cáo vô tội. 
handbook-163	このことは証拠によって認められる次の事実から明らかであります。	This is clear according to the following facts supported by the evidence. 	这一点，从以证据证明的以下事实来看，是很清楚的。	Điều này được chứng minh rõ ràng qua những sự việc sau: 
handbook-164	以上のことから、被告人には窃盗の故意がなく、無罪であります。	Given these facts, the defendant did not intend to commit theft and thus, he/she is not guilty. 	根据以上的事实来看，被告人没有盗窃的故意，是无罪的。	Qua những yếu tố trên cho thấy bị cáo không cố ý ăn cắp và vì thế bị cáo vô tội. 
handbook-165	これで審理を終わりますが、最後に何か言っておきたいことはありますか。	The trial will soon end. Is there anything you wish to say about this case?	审理到此结束，被告人最后有什么要说的吗?	Phần xét xử đến đây là chấm dứt. Bị cáo muốn phát biểu lời gì cuối cùng không? 
handbook-166	申し訳ないことをしたと思います。	I am very sorry for what I have done. 	我做了不应该做的事。	Tôi rất lấy làm tiếc về những gì đã làm. 
handbook-167	私は盗むつもりはありませんでした。	I did not intend to steal anything.	我没有想偷。	Tôi không có ý định ăn cắp. 
handbook-168	早く自分の国へ帰らせてください。	Please let me return to my country soon. 	请早日我回国。	Xin cho tôi sớm được trở về nước.
handbook-169	次回公判期日は、平成○○年11月8日午前10時30分と指定します。	The court assigns November 8, XXXX, 10: 30 a.m. as the next trial date. 	下次开庭日期现指定为○○年11月8日上午10时30分。	Tòa quyết định phiên tòa tới được xử vào lúc 10 giờ 30 sáng ngày 8 tháng 11 năm...... 
handbook-170	それでは、判決は平成○○年12月6日午後1時にこの法廷で言い渡します。	Judgment will be rendered on December 6, XXXX at 1:00 p.m. in the present courtroom. 	判决将于○○年12月6日下午1时在这个法庭进行。	Vào 1 giờ chiều ngày 6 tháng 12 năm.... tòa sẽ đọc lời tuyên án tại phòng xử này. 
handbook-171	被告人に対する○○被告事件の判決を言い渡します。	Now the judgment is going to be pronounced on the charge of the ______ Criminal Case against the defendant. 	对被告人的○○被告案件进行宣判。	Tòa bắt đầu tuyên án về vụ án hình sự...... đối với bị cáo.
handbook-172	理由：当裁判所が証拠により認定した罪となるべき事実(犯罪事実)の要旨は次のとおりである。	Reasons for judgment: The summary of the criminal facts, the facts constituting the crime found by this court on the basis of the evidence is as follows: 	理由:本法院根据证据认定的构成犯罪的事实(犯罪事实)的概要如下。	Cơ sở tuyên án: Những hành vi cấu thành tội phạm (hành vi tội phạm) của bị cáo dựa trên chứng cớ như dưới đây đã được xác minh tại toà. 
handbook-173	そこで、所定の法条(法律)を適用して主文のとおり判決する。	Therefore, applying the relevant laws to what this court found, the judgment has been pronounced as stated in the main text. 	因此，运用规定的(法律)条文作出了如主文所述的判决。	Vì vậy, tòa đã ra phán quyết bản án này chiếu theo luật lệ hiện hành. 
handbook-174	刑を定めるに当たって考慮した事情は以下のとおりである。	Factors taken into consideration in determining the type and extent of punishment to be meted are as follows.	在决定刑罚时考虑的情况如下。	Những tình tiết như sau đây đã được suy xét khi xác định hình thức tuyên án và mức độ hình phạt. 
handbook-175	刑事裁判の手続としては、釈放されます。	In accordance with the criminal procedure, you will be released.	作为刑事审判的手续，你将被释放。	Theo thủ tục tòa án hình sự, bị cáo sẽ được phóng thích. 
handbook-176	今後◯年間のうちに日本で罪を犯さなければ、刑務所に入らなくてもよくなります。	You will not be imprisoned as long as you do not violate the laws in Japan for the coming ______ years.	在今后的○年内如不在日本犯罪的话，将不需要去监狱服刑。	Trong vòng... năm, nếu bị cáo không phạm tội gì tại Nhật Bản, bị cáo sẽ không phải vào tù. 
handbook-177	しかし、この○年間のうちに日本で罪を犯してまた刑に処せられることがあると、この執行猶予は取り消されます。	However, if you commit any crime and are sentenced for it during that period, the suspended execution of the sentence will be revoked.	但是，如果被告人在○年内在日本犯了罪或被判刑时，那么这次的缓刑将会被取消。	Tuy nhiên trong vòng.... năm này, nếu phạm tội và bị kết án thì án treo này sẽ bị hủy bỏ.
handbook-178	そうなると、今回の懲役○年の刑を実際に受けなければならなくなります。	Then, you will be subject to imprisonment with work for ______ year(s) as ordered by this court.	届时，这次的有期徒刑○年的刑罚，实际上还是必须要服的。	Bị cáo phải vào tù và chịu hình thức lao động cưỡng bách trong .....năm như phán quyết hôm nay của tòa.
handbook-179	もちろん、その場合には新たに犯した罪の刑も受けます。	Of course, in that case, you will also serve the sentence rendered against you for the possible new crime. 	当然，到时还要加上新犯罪的刑罚。	Cộng thêm cả số năm tù bị tuyên án do bị cáo phạm tội mới. 
handbook-180	そういうことのないように、十分注意してください。	Take due care not to realize such a situation. 	请务必注意不要发生这样的事。	Vì vậy, bị cáo phải cẩn thận lưu ý đừng để tình trạng này xảy ra. 
handbook-181	なお、被告人の場合は既に在留期間が経過していますから、この判決の後間もなく、入国管理局において被告人を本国に送還する手続がなされると思います。	Your legal period of stay has already expired. Soon after this judgment, you will most likely be subject to deportation procedures by the Immigration Bureau. 	因为被告人的居留期限已过，所以在这个判决后不久，将由入境管理局为被告人办理遣送回国的手续。	Thời gian lưu trú của bị cáo tại Nhật đã quá hạn, nên ngay sau khi tuyên án, Cục Quản Lý Xuất Nhập Cảnh sẽ tiến hành các thủ tục để trục xuất bị cáo. 
handbook-182	したがって、結局、送還後○年間日本に来て犯罪を犯さなければ、今回の刑を受けることはないということになります。	Therefore, you will not actually be imprisoned for the present crime as long as for years after deportation you do not commit any crime in Japan upon your return. 	也就是说，在被遣送回去后的一年内，如果不再来日本犯罪的话，实际上就不必服这次的刑罚。	Vì thế trên thực tế bị cáo sẽ không bị tù giam vì tội này nếu trong vòng .... năm sau khi bị trục xuất, bị cáo trở lại Nhật Bản mà không phạm tội hình sự nào khác. 
handbook-183	被告人はこれまで相当期間勾留されていますから、そのうちの○日間は既に刑の執行を受け終わったものとします。	You have been detained for a fair amount of time. Of the number of days of pre-sentencing detention, ______ days are judged to be deemed as the period of execution of the imprisonment. 	因为被告人到现在为止已被拘留了相当的期间，所以决定其中的○天算被告人已服完了刑。	Bị cáo đã bị tạm giam trong một thời gian khá dài. Trong đó có.... ngày được coi là số ngày đã bị tù giam. 
handbook-184	したがって、言い渡した○年○か月の刑から実際には○日間が差し引かれることになります。	Therefore, the prison term of ______ year(s) ______ month(s) pronounced in sentencing will be reduced by ______ days.	也就是说，从宣告的○年○个月的刑期中，实际上要减去天。	Vì vậy thời gian thực thụ bị tù sẽ là thời gian tuyên án trừ đi số ngày đã bị tù giam nói ở trên. 
handbook-185	保護観察というのは、国の機関である保護観察所の保護観察官の指導監督によって、被告人が再び間違いを起こすことのないように手助けする制度です。	Probation assists the offender in the rehabilitation process under the supervision of government probation officers assigned to the probation office. 	保护观察就是在国家机关保护观察所保护观察官的指导监督下，帮助被告人不再犯错误的制度。	Giám sát bảo hộ là một chế độ có mục đích giúp bị cáo không tái phạm sai lầm, do các nhân viên giám sát bảo hộ của các văn phòng giám sát nhà nước đảm trách. 
handbook-186	普通は毎月1回以上保護観察所に所属する保護観察官のもとにいる保護司という人と会って、被告人の日ごろの生活について指導を受けることになります。	An offender is usually required to report to a volunteer probation officer under the supervision of a government probation officer several times a month to be given instructions on his/her daily life. 	一般情况下，被告人每月须同在保护观察所保护观察官下属的保护司(监护人)见面一次以上，就自己的日常生活接受其指导。	Thông thường, bị cáo sẽ phải gặp nhân viên giám sát bảo hộ trực thuộc sở giám sát bảo hộ 1 tháng trên 1 lần để được hướng dẫn về cuộc sống hàng ngày. 
handbook-187	この判決の確定後、速やかに、保護観察所に出頭して保護観察所の説明を受けてください。	As soon as this judgment becomes final and binding, report to the government probation office to receive the instructions that you are required to follow. 	这个判决发生法律效力后，请马上到保护观察所报到，听取保护观察所的说明。	Ngay sau khi phiên tòa kết thúc, bị cáo phải nhanh chóng lên sở giám sát bảo hộ trình diện và nhận những hướng dẫn mà bị cáo phải tuân theo. 
handbook-188	保護観察所では、守らなければならない事項について指示されますが、もし、この遵守事項を守らない場合には、この刑の執行猶予を取り消されることがあります。	If you fail to follow the instructions, the suspension of execution of sentence is subject to revocation. 	保护观察所将就应遵守的事项给予指示，如果违反了这些必须遵守的事项时，这次的缓刑会被取消。	Nếu không thực hiện đúng những chỉ dẫn này, việc thực thi án theo hình thức này sẽ bị hủy bỏ. 
handbook-189	また、再び犯罪を犯して禁錮以上の刑に処せられた場合には法律上執行猶予を付けることができないので、そのようなことのないよう十分注意してください。	Moreover, you would be ineligible for a grant of suspension of execution of sentence if you commit another crime and are sentenced to imprisonment without work or sentenced to a more severe punishment. Therefore, I advise you to remain on good behavior. 	另外，如果再犯罪并被判禁锢以上的刑罚时，法律上是不能再给予缓刑的。因此，请务必注意不要发生这样的事。	Bị cáo cần lưu ý rằng, nếu vi phạm một tội nào khác và bị tuyên án tù cấm cố (tù giam không phải lao động cưỡng bức) hay nặng hơn nữa thì bị cáo sẽ không được quyền hưởng việc áp dụng hình thức án treo như thế này nữa. 
