id	source_japanese	llama_english	llama_chinese	llama_vietnamese	
handbook-106	証人が証言することによって証人自身又は証人の近親者が刑事訴追を受けたり、有罪の判決を受けるおそれのある事柄については、証言を拒むことができますから、その場合には申し出てください。	"Since a witness can refuse to testify about matters that may expose the witness or their relatives to criminal prosecution or a guilty verdict, please make a declaration if necessary."	证人作证可能导致证人本人或者其近亲属受到刑事起诉或者被判有罪的内容，证人可以拒绝作证，因此在这种情况下请提出。	"Người làm chứng có thể từ chối lời khai về những vấn đề mà khi chứng kiến có thể dẫn đến việc bản thân người làm chứng hoặc người thân của họ bị truy tố hoặc bị kết án, vì vậy nếu có tình huống như vậy thì xin hãy trình bày."	
handbook-107	弁護人のただいまの発問は、誘導尋問ですから、異議を申し立てます。	"The present questioning by the defense attorney is a leading question, so I object."	辩护人的刚才的发问，是诱导询问，所以我提出异议。	"Luật sư hiện tại đang hỏi là một cuộc thẩm vấn dẫn dắt, vì vậy tôi phản đối."	
handbook-108	反対尋問においては、誘導尋問も許されるので、検察官の異議の申立ては、理由がないと思料いたします。	"In cross-examination, leading questions are also allowed, so I think the prosecutor's objection is without reason."	在反对询问中，诱导询问也是被允许的，所以我觉得检察官的异议是没有理由的。	"Tại thẩm vấn phản đối, việc thẩm vấn dẫn dắt cũng được cho phép, vì vậy tôi nghĩ rằng kháng nghị của công tố viên là không có căn cứ."	
handbook-109	異議を棄却します。	The objection is overruled.	駁回異議。	Bác bỏ sự phản đối.	
handbook-110	証人尋問を終わります。	The witness examination is concluded.	证人询问至此结束。	Hearing kết thúc việc hỏi cung nhân chứng.	
handbook-112	本件に被告人に対する平成○○年(わ)第○○号強盗被告事件を併合して審理します。	"This case shall be tried in conjunction with the robbery case against the defendant, Heisei ○○ (wa) No. ○○."	本案与昭和××年(曰)第××号强盗案合并审理。	Vụ việc này sẽ hợp nhất với vụ án cướp bị can số (w) năm Heisei ○○ để xét xử.	
handbook-113	起訴状記載の訴因を「被告人はしたものである。」と、罪名及び罰条を「窃盗 刑法235条」とそれぞれ変更の請求をします。	"I request to change the accusation in the indictment to ""The defendant did such an act"" and the crime and penalty to ""theft, Article 235 of the Criminal Code""."	要求修改起诉书中所列明的诉由为“被告人确实如此”，并要求将罪名及罚则分别修改为“窃盗 刑法235条”。	"Tôi yêu cầu thay đổi cáo trạng ghi ""bị cáo đã thực hiện"" và tội danh cũng như điều khoản hình sự thành ""trộm cắp Bộ luật hình sự Điều 235"" như nhau."	
handbook-114	検察官の請求に異議ありません。	I have no objection to the prosecutor's request.	检察官的要求我方没有异议。	Tôi không có ý kiến gì khác với yêu cầu của công tố viên.	
handbook-115	訴因及び罰条等の変更を許可します。	"Permission is granted to change the cause of action and the articles of punishment, etc."	允许修改起诉理由和相关处罚条款等。	Cho phép thay đổi lý do khởi kiện và điều khoản hình phạt v.v.	
handbook-116	今後の審理においては、平成○○年6月20日付け起訴状記載の公訴事実第1の被害者のことを「被害者A」と、同年7月10日付け追起訴状記載の被害者のことを「被害者B」と呼ぶこととします。	"In the future trial, the victim of the fact of the prosecution described in the indictment dated June 20, Heisei ○○, shall be referred to as ""victim A"", and the victim described in the additional indictment dated July 10, of the same year, shall be referred to as ""victim B""."	"今后的审理中，关于平成○○年6月20日起诉状记载的公诉事实第一的被害者，将称为""被害者A""，关于同年7月10日追起诉状记载的被害者，将称为""被害者B""。"	"Trong quá trình xét xử sau này, người bị hại trong cáo trạng ngày 20 tháng 6 năm Heisei số ○○ sẽ được gọi là ""Nạn nhân A"" và người bị hại trong cáo trạng bổ sung ngày 10 tháng 7 cùng năm sẽ được gọi là ""Nạn nhân B""."	
handbook-117	本日、被害者Aさんから被害者参加の申出がありました。	"Today, a request for victim participation was made from the victim, Mr. A."	今天，从受害人A先生那里，收到了被害者参加的申请。	"Hôm nay, nạn nhân A đã có đơn yêu cầu tham gia tố tụng với tư cách là bị hại."	
handbook-118	検察官としては、相当であると考えます。	"As a prosecutor, I think it is appropriate."	检察官认为这是合适的。	"Tôi nghĩ như một công tố viên, điều đó là phù hợp."	
handbook-121	申出人の本件被告事件の手続への参加を許可します。	The participation of the applicant in the proceedings of the defendant's case in this matter is permitted.	允许申诉人参加本案被告事件的诉讼程序。	Chúng tôi cho phép người khởi kiện tham gia vào thủ tục xét xử của vụ án này.	
handbook-122	被害者の方からの心情その他の意見陳述を行います。	A statement of feelings and other opinions from the victim will be made.	被害者方將進行心情及其他意見的陳述。	Nạn nhân sẽ trình bày ý kiến và cảm xúc của họ.	
handbook-123	では、被害者の方は証言台に進んで、その意見を陳述してください。	"Then, the victim's side, please proceed to the witness stand and state your opinion."	那么，请受害者前往证言台，对自己的意见进行陈述。	"Vậy thì, phía bị hại xin mời lên bục chứng nhân và trình bày ý kiến của mình."	
handbook-124	私は、被告人に殴られて、半年も入院しました。	I was punched by the defendant and was hospitalized for more than half a year.	我被被告打了，進了病院半年多。	Tôi đã bị bị cáo đấm và phải nhập viện hơn nửa năm.	
handbook-125	その間、身体の自由が利かず、仕事もできず、とてもつらい思いをしました。	"During that time, I did not have freedom of body, could not do work, and experienced very hard circumstances."	在此期间，身體的自由受限，無法工作，感到非常痛苦。	"Trong lúc đó, tôi không được tự do về thân thể, không thể làm việc và phải trải qua những ngày tháng rất khó khăn."	
handbook-126	被告人のことは、絶対に許せません。	The defendant can never be forgiven.	被告人的事情，一定不能原谅。	Không thể tha thứ cho bị cáo.	
handbook-129	事実は間違いないということですが、この事実について、有罪であるとして処罰されても構わないということですか。	"The fact is certainly not in dispute, but is it being said that it is acceptable to be found guilty and punished for this fact?"	事实是没有错的，但是这个事实对于被判定有罪并且会受到惩罚是可以接受的吗？	"Sự thật là không có sai lầm, nhưng điều đó có nghĩa là sự thật này, là có tội và sẽ bị trừng phạt, được chấp nhận hay không."	
handbook-132	被告人の陳述と同様です。	It is the same as the defendant's statement.	被告人的陈述是如此。	Tương tự như lời khai của bị cáo.	
handbook-133	本件については、検察官から即決裁判手続の申立てがされています。	"As for this case, a petition for a summary court proceeding has been filed by the public prosecutor."	本件关于检察官已经提出即决判决程序的申请。	"Vụ án này, phía viện kiểm sát đã đề nghị tiến hành thủ tục xét xử rút gọn."	
handbook-134	被告人、弁護人は即決裁判手続によることについて同意しており、被告人は有罪である旨の陳述をしていますので、本件を即決裁判手続によって審判することとします。	"The defendant and the defense counsel agree to the summary trial procedure, and the defendant admits to being guilty, so we will proceed with the trial by summary trial procedure."	被告人、辩护人均同意本案适用简易程序，且被告人已陈述其有罪之意，因此本案将适用简易程序进行审判。	"Bị cáo, luật sư đều đồng ý theo thủ tục xét xử nhanh và bị cáo đã khai nhận có tội, vì vậy vụ án này sẽ được xét xử theo thủ tục xét xử nhanh."	
handbook-135	では、証拠調べに入ります。	"Now, we will proceed with the examination of evidence."	现在开始证据调查。	"Vậy thì, bắt đầu việc thẩm vấn bằng chứng."	
handbook-136	検察官、証拠調べ請求をお願いします。	"Prosecutor, please make an objection to the evidence examination."	检察官，请提出证据调查的请求。	"Viện kiểm sát, xin đề nghị thẩm vấn chứng cứ."	
handbook-137	本件公訴事実を立証するため、証拠等関係カード(甲)(乙)記載の各証拠の取調べを請求します。	We request an examination of each piece of evidence listed on the related cards (甲)(乙) to prove the facts of the indictment in this case.	为了证明本案的公诉事实，我们要求调查相关卡片(甲)(乙)记载的各项证据等。	"Để chứng minh các tình tiết của vụ án này, chúng tôi yêu cầu thẩm vấn các chứng cứ liên quan được ghi trong các thẻ (甲) (乙) như đã nêu."	
handbook-139	いずれも、証拠とすることに異議はありません。	There is no objection to any of them being entered into evidence.	这些都没有异议作为证据。	Tất cả đều không có ý kiến phản đối khi được dùng làm bằng chứng.	
handbook-140	検察官、御意見を伺います。	"The prosecutor, we would like to hear your opinion."	检察官，请表达您的意见。	Tôi xin hỏi ý kiến của ông kiểm sát viên.	
handbook-141	検察官がこの事件に対する意見を述べますので、被告人は聞いていてください。	"The prosecutor will state an opinion about this case, so the defendant should listen."	检察官将就此案件发表意见，请被告人听取。	"Viện kiểm sát sẽ nêu ý kiến về vụ việc này, nên bị cáo hãy nghe nhé."	
handbook-142	それでは論告いたします。	I will proceed with the argument.	現在开始进行辩论。	Bây giờ tôi sẽ đọc bản luận tội.	
handbook-143	まず、事実についてですが、本件公訴事実は、当公判廷で取り調べられた関係各証拠によって証明十分と思料します。	"First, regarding the facts, I think the facts of this prosecution can be fully proven by all the related evidence that has been examined in this trial."	首先，关于事实，本案的公诉事实通过本庭调查的各项证据已经证实充分。	"Trước hết, về mặt sự thật, thì các tình tiết của vụ án này được chứng minh đầy đủ bởi các chứng cứ liên quan đã được điều tra tại tòa án này."	
handbook-144	情状について申し上げます。本件は、被告人が、金を稼ぐ目的で、当初から不法に残留することを予定して入国し、2年余りにわたって不法に残留した事案であり、その残留期間の長さなどを考えると、被告人の刑事責任は重大であります。	"I will state the circumstances. This case is one in which the defendant, with the purpose of earning money, from the beginning planned to illegally overstay and illegally overstayed for over two years, and considering the length of the overstaying period and so on, the defendant's criminal responsibility is serious."	当前说明情状。本案被告人为了赚取钱财，从最初就预定不法残留而入国，并且不法残留长达两年有余，考虑到残留期间的长短等，被告人的刑事责任是严重的。	"Về tình tiết, vụ việc này là bị cáo đã nhập cảnh với mục đích kiếm tiền và từ đầu đã dự định ở lại bất hợp pháp, và đã ở lại bất hợp pháp trong hơn 2 năm, và nếu xem xét về độ dài thời gian ở lại bất hợp pháp thì trách nhiệm hình sự của bị cáo rất nghiêm trọng."	
handbook-145	求刑ですが、以上諸般の事情を考慮し、相当法条適用の上、被告人を、懲役1年6月に処するのを相当と思料します。	"As for the sentence, considering the above circumstances and applying the relevant laws, I think it is appropriate to sentence the defendant to imprisonment for 1 year and 6 months."	求刑是，综合考虑上述各种情况，适用相关法律规定，对被告人判处有期徒刑1年6个月，我认为这是适当的。	"Về mức phạt, sau khi xem xét các tình huống nói trên, áp dụng các điều khoản pháp luật phù hợp, chúng tôi nghĩ rằng xử phạt bị cáo với hình phạt tù 1 năm 6 tháng là phù hợp."	
handbook-146	では、弁論としての意見陳述をお願いします。	"Then, I request the presentation of arguments as an opinion statement."	那么，请您发表辩论的意见陈述。	"Vậy, tôi xin đề nghị trình bày ý kiến như một cuộc tranh luận."	
handbook-147	この事件の被害者参加人として、私の意見を述べます。	"As a victim's participant in this case, I will state my opinion."	作为本案的被害者参加人，我发表我的意见。	"Với tư cách là người tham gia tố tụng bị hại trong vụ án này, tôi xin phát biểu ý kiến của mình."	
handbook-148	被告人は、何の関係もない私に対し、いきなり言い掛かりをつけ、その後、急に殴りかかってきました。	"The defendant, with no relation to me whatsoever, suddenly picked a quarrel and then assaulted me all of a sudden."	被告人对完全没有关系的我突然找茬，之后突然冲过来打我。	"Bị cáo đã không có mối quan hệ nào với tôi mà突然 tìm cách bắt bẻ tôi, sau đó đột ngột đánh tôi."	
handbook-149	このため、私は1か月もの入院を余儀なくされるほどの重傷を負いました。	This is why I was forced to suffer an injury severe to the point of being necessitated to be hospitalized for a month.	因此，我被迫进行了一个月的住院治疗，以处理严重到需要如此这般长期治疗的重伤。	"Vì vậy, tôi bị thương nặng đến mức phải nằm viện một tháng."	
handbook-150	入院中は身体の自由が利かず、本当につらい思いをしました。	"While I was in the hospital, my physical freedom was not usable and I really had a hard time."	入院期间身体的自由受到限制，真的经历了很大的痛苦。	"Trong thời gian ở bệnh viện, tôi không có tự do về thể chất và thật sự rất khó khăn."	
handbook-151	被告人は、私にも落ち度があるなどといって謝罪すら行わず、また、慰謝料はおろか、入院費用さえも支払っていません。	"The defendant has not even apologized, saying that I also have a fault, and has not paid either consolation money or even hospitalization expenses."	被告对我毫无歉意，也不道歉，更没有支付赔偿金，甚至连医院费用都没有给我付过。	"Bị cáo không những không xin lỗi tôi vì cho rằng có lỗi ở tôi, mà còn không trả tiền bồi thường, thậm chí không trả cả chi phí nằm viện."	
handbook-152	このような被告人のことは、どうしても許せません。	We cannot forgive a defendant like this by any means.	这样的被告，我是无论如何也不能原谅的。	Không thể tha thứ cho bị cáo như thế này.	
handbook-153	私は、被告人を懲役4年の刑にしてほしいと思います。	I think the defendant should be sentenced to four years in prison.	我希望被告人被判处四年有期徒刑。	Tôi nghĩ nên xử bị cáo 4 năm tù.	
handbook-155	では、被告人のため、弁論いたします。	"Now, I will argue on behalf of the defendant."	現在是为被告人进行辩论。	Tôi sẽ trình bày luận điểm cho bị cáo.	
handbook-156	本件公訴事実に関しては、被告人は当公判廷においてもこれを素直に認めており、弁護人としてもこれに対し特段異議をとどめるべき点はございません。	"Regarding the facts of the indictment in this case, the defendant has also sincerely admitted them in this court, and as for the defense counsel, there are no particular points to raise objections to it."	本件公诉事实有关方面， 被告人在本法庭上也承认了，并且作为其辩护人也无特殊理由对此表示异议。	"Vụ án này liên quan đến các tình tiết của vụ án, bị cáo cũng đã thừa nhận một cách trung thực tại phiên tòa này, và luật sư juga không có điểm nào đặc biệt để phản đối."	
handbook-157	被告人も当公判廷で供述したとおり、本件は弁解の余地のない違法行為であり、被告人自身、長期にわたる不法残留については十分反省し、国外に退去した後は2度と日本には来ないと供述しており、今後2度とこのような違法行為を繰り返さないことを誓っているものです。	"The defendant, as stated in this court, this case is an illegal act with no room for excuse, and the defendant himself has fully reflected on the long-term illegal stay and stated that he will not come to Japan again after leaving the country, and is swearing not to repeat such illegal acts again."	被告人也在本庭审中陈述， 本案件是没有辨解余地的违法行为，被告人自身，对于长期不法滞留也已充分反省，并且陈述在退去国外以后不会再次来日本，而且今后不会再进行此类违法行为。	"Bị cáo cũng đã khai như đã trình bày tại tòa, vụ việc này là hành vi bất hợp pháp không thể lý giải được và bị cáo đã suy ngẫm đầy đủ về việc lưu trú bất hợp pháp trong thời gian dài, sau khi rời khỏi Nhật Bản đã cam kết sẽ không bao giờ quay lại Nhật Bản và thề sẽ không lặp lại hành vi trái pháp luật như vậy trong tương lai."	
handbook-158	被告人の残留目的は、就労であり、それ以外の不法な目的を有していたものではありません。	"The defendant's purpose of staying was employment, and they did not have any other unlawful purposes."	被告人逗留的目的，是就业，并不存在其他违法的目的。	Mục đích lưu trú của bị cáo là để làm việc và không có mục đích bất hợp pháp nào khác.	
handbook-159	現に、来日してから逮捕されるまでの間は、まじめに稼働しており、本件以外の犯罪を犯したこともなく、前科前歴はありません。	"In fact, between coming to Japan and being arrested, he was working honestly and did not commit any other crimes, and there are no prior convictions or records."	现实上，在来日之后到被逮捕之前的期间，他都是认真地工作着，并且除了本案以外没有犯下任何其他的罪行，也没有任何前科前歴。	"Trên thực tế, từ khi sang Nhật cho đến khi bị bắt, anh ta đã làm việc một cách nghiêm túc và không phạm tội nào khác ngoài vụ việc này, và cũng không có tiền án tiền sự."	
handbook-160	被告人は今回、逮捕、勾留、起訴という厳しい処分を受け、既に相当の期間の身柄拘束処分を受けており、十分な社会的、 経済的制裁を受けています。	"The defendant has this time received severe dispositions of arrest, detention, and indictment, and has already been subjected to a considerable period of physical restraint, and has received sufficient social and economic sanctions."	被告人这次，接受了逮捕、拘留、起诉这样的严厉处分，已经接受相当一段时间的身柄拘束处分，受到了充分的社会性、经济性的制裁。	"Bị cáo đã chịu những biện pháp xử lý nghiệm khắc khe này, gồm bắt giữ, giam giữ, truy tố và đã chịu chế tài hạn chế thân thể trong khoảng thời gian đáng kể và đã chịu những hình phạt xã hội, kinh tế đầy đủ."	
handbook-161	以上の事情を併せ考慮されて、被告人に是非とも自力更生、再起の機会を与えていただきたく、執行猶予の寛大な判決を下されるよう、切にお願いする次第です。	"Considering all of the aforementioned circumstances, I sincerely request that the defendant be given the opportunity for self-rehabilitation and resurgence, and that a lenient judgment with a suspension of execution be pronounced, which is the gist of my earnest petition."	综上所述，考虑到以上各种情况，希望能够给被告人自力更生和再起的机会，请求能够得到宽大的判决，对此深表感谢，敬请裁判。	"Xin xét đến tất cả các tình tiết trên, tôi xin đề nghị tòa án xem xét khả năng cho bị cáo có cơ hội tự lực cải tạo, phục hồi và quyết định ân xá, giảm nhẹ hình phạt, nhằm tạo điều kiện cho họ có cơ hội sửa chữa sai lầm và trở thành công dân tốt."	
handbook-162	被告人は、指輪を買うつもりだったのであり、窃盗の故意はなく、無罪です。	"The defendant had the intention of purchasing the ring, and there was no intention of theft, so the defendant is not guilty."	被告人是打算购买戒指的，并无盗窃的故意，应当判决无罪。	"Bị cáo không có ý định trộm cắp vì họ mua nhẫn và không có tội trộm cắp, nên không phạm tội."	
handbook-163	このことは証拠によって認められる次の事実から明らかであります。	"This is evident from the following facts, which are acknowledged by the evidence."	這一點從以下事實中可以看出是被證據所證實的。	Điều này được chứng minh bằng chứng cứ từ những sự thật sau đây là rõ ràng.	
handbook-164	以上のことから、被告人には窃盗の故意がなく、無罪であります。	"From the above, the defendant did not have the intention to commit theft, and is not guilty."	综上所述，被告人没有盗窃的故意，是无罪的。	"Từ những điều trên, bị cáo không có ý định trộm cắp, nên không phạm tội."	
handbook-165	これで審理を終わりますが、最後に何か言っておきたいことはありますか。	"This concludes the hearing, but is there anything you would like to say at the end?"	就这样庭审即将结束，在结束前你们还有什么想说的吗？	"Đến đây thì phiên xét xử sẽ kết thúc, nhưng trước khi kết thúc, quý vị có muốn nói thêm gì không."	
handbook-166	申し訳ないことをしたと思います。	I think I have done a sorry thing.	我觉得自己做了让大家失望的事。	Tôi nghĩ tôi đã làm một việc không đáng.	
handbook-167	私は盗むつもりはありませんでした。	I did not intend to steal.	我没有偷的意思。	Tôi không có ý định đánh cắp.	
handbook-168	早く自分の国へ帰らせてください。	I want you to let me return to my country quickly.	请早点让我回到自己的国家。	Hãy cho tôi trở về nước sớm.	
handbook-169	次回公判期日は、平成○○年11月8日午前10時30分と指定します。	"The next trial date shall be designated as 10:30 a.m. on November 8, Heisei ○○."	下一次审判日期指定为平成○○年11月8日上午10点30分。	Ngày xét xử tiếp theo sẽ được chỉ định là 10 giờ 30 phút sáng ngày 8 tháng 11 năm Heisei ○○.	
handbook-170	それでは、判決は平成○○年12月6日午後1時にこの法廷で言い渡します。	"Then, the judgment will be rendered at 1:00 p.m. on December 6, Heisei ○○, in this courtroom."	那么，判决将于平成○○年12月6日下午1时在本法庭宣判。	"Vậy, bản án sẽ được tuyên đọc vào lúc 13 giờ ngày 6 tháng 12 năm Heisei ○○ tại tòa án này."	
handbook-171	被告人に対する○○被告事件の判決を言い渡します。	A judgment in the case of the defendant ○○ is being pronounced.	对○○被告的被告事件进行判决宣告。	Xét xử và tuyên án đối với vụ án bị cáo○○	
handbook-172	理由：当裁判所が証拠により認定した罪となるべき事実(犯罪事実)の要旨は次のとおりである。	"The gist of the facts constituting the crime, which this Court recognized based on the evidence, is as follows."	理由：本院认定的应构成罪的案件事实（犯罪事实）的主要内容是如下所述。	Lý do: Những tình tiết của các sự kiện cấu thành tội phạm (tình tiết của tội phạm) được tòa án xác định thông qua các chứng cứ là như sau.	
handbook-173	そこで、所定の法条(法律)を適用して主文のとおり判決する。	"Accordingly, the provision of the law is applied as prescribed and judgment is rendered as stated in the main text."	因此，根据所定的法律条款，按照如下判决内容施行。	"Do đó, áp dụng các điều khoản pháp luật quy định để tuyên án theo như bản án."	
handbook-174	刑を定めるに当たって考慮した事情は以下のとおりである。	The circumstances considered in determining the sentence are as follows.	量刑時考虑到的情节如下。	Các tình tiết được xem xét khi quyết định hình phạt như sau.	
handbook-175	刑事裁判の手続としては、釈放されます。	You are discharged as to this criminal proceeding.	以刑事审判程序为基础被释放。	"Với tư cách là một thủ tục xét xử hình sự, sẽ được thả ra."	
handbook-176	今後◯年間のうちに日本で罪を犯さなければ、刑務所に入らなくてもよくなります。	"In the future, if you do not commit a crime in Japan for ◯ years, you will not have to go to jail."	以后◯年间之内如在日本不再犯案，可以不用入监。	"Trong vòng ◯ năm tới, nếu không phạm tội tại Nhật Bản, bạn sẽ không cần phải vào nhà tù."	
handbook-177	しかし、この○年間のうちに日本で罪を犯してまた刑に処せられることがあると、この執行猶予は取り消されます。	"However, if during these ○ years you commit a crime in Japan and are sentenced again, this suspension of execution will be revoked."	但是，在這○年期間内，如果在日本境内再次犯案并被判刑的话，這個緩刑將會被撤銷。	"Nhưng trong suốt thời gian ○ năm này, nếu phạm tội ở Nhật Bản và bị xử phạt, thì việc ân xá này sẽ bị hủy bỏ."	
handbook-178	そうなると、今回の懲役○年の刑を実際に受けなければならなくなります。	"In that case, it will become necessary to actually serve this time of ○ years' imprisonment."	这样一来，就不得不真正地接受本次判处的×年有期徒刑。	"Khi đó, tôi sẽ phải thực sự chịu hình phạt tù △ năm lần này."	
handbook-179	もちろん、その場合には新たに犯した罪の刑も受けます。	"Of course, in that case, they will also receive punishment for the new crime they committed."	当然，在这种情况下，他们还将受到新犯的罪行的刑罚。	"Tất nhiên, trong trường hợp đó, họ cũng sẽ phải chịu hình phạt cho tội mới mà họ đã phạm."	
handbook-180	そういうことのないように、十分注意してください。	Please be careful to avoid that kind of thing from happening.	这样的事情不要发生，请您注意。	Hãy cẩn thận để không có điều như vậy xảy ra.	
handbook-181	なお、被告人の場合は既に在留期間が経過していますから、この判決の後間もなく、入国管理局において被告人を本国に送還する手続がなされると思います。	"As for the defendant, since their period of stay has already passed, I think that the procedure for deporting the defendant to their home country will be carried out shortly after this judgment at the immigration office."	被告人在留期间已经过去，所以我想在此判决之后不久，在入国管理局就会对被告人进行遣返回国的手续。	"Vì đây là trường hợp của bị cáo đã hết thời gian lưu trú nên ngay sau bản án này, tôi nghĩ rằng tại cơ quan quản lý nhập cảnh sẽ tiến hành thủ tục trả bị cáo về nước ngay."	
handbook-182	したがって、結局、送還後○年間日本に来て犯罪を犯さなければ、今回の刑を受けることはないということになります。	"Therefore, it ultimately means that if you come to Japan and do not commit a crime for ○ years after deportation, you will not receive this sentence this time."	因此，最后，总之是在被驱逐出境后○年内不来日本或者即使来到日本也不再犯罪的话，就不会受到这次判刑。	"do đó, cuối cùng, sau khi bị trục xuất, trong phạm vi ○ năm ở Nhật Bản mà không phạm tội, thì sẽ không phải chịu hình phạt này."	
handbook-183	被告人はこれまで相当期間勾留されていますから、そのうちの○日間は既に刑の執行を受け終わったものとします。	"The defendant has been detained for a considerable period of time up to now, and it is deemed that some ○ days of that have already been served as part of the sentence."	被告已被拘留相当一段时间，因此其中的○天已被视为刑期的一部分。	"Bị cáo đã bị giam giữ trong một thời gian đáng kể cho đến nay, vì vậy trong số đó, △ ngày đã được coi là đã chấp hành xong bản án."	
handbook-184	したがって、言い渡した○年○か月の刑から実際には○日間が差し引かれることになります。	"Therefore, in the sentence of ○ years and ○ months that was handed down, in reality, ○ days will be deducted."	因此，判决的○年○个月的刑期中，实际上将扣除○天。	"do đó, bản án tuyên vào △năm △tháng sẽ thực tế bị trừ đi △ngày trong bản án đã tuyên."	
handbook-185	保護観察というのは、国の機関である保護観察所の保護観察官の指導監督によって、被告人が再び間違いを起こすことのないように手助けする制度です。	"Protection observation is a system to help defendants not to make mistakes again by guidance and supervision of protection observation officers of a national institution, the protection observation office."	保护观察是指国家机构保护观察所的保护观察官通过指导监督，帮助被告人不再犯错的制度。	"Giám sát bảo vệ là một cơ quan của quốc gia là cơ quan giám sát bảo vệ của giám sát viên bảo vệ dưới sự hướng dẫn và giám sát, để người bị buộc tội không lặp lại sai lầm."	
handbook-186	普通は毎月1回以上保護観察所に所属する保護観察官のもとにいる保護司という人と会って、被告人の日ごろの生活について指導を受けることになります。	"Ordinarily, once a month or more, under the protection observation office belonging protection observation officer called protection committee and the person who is will meet, and about the defendant's daily life, receive guidance."	通常情况下，每月至少一次以上，要到所属的保護観察所去找所屬的保護観察官所属的保護司，与其見面，并且接受关于被告人平日里的生活的指導。	"Thông thường, mỗi tháng một lần trở lên, họ sẽ đến gặp một người gọi là bảo trợ xã hội, những người này thuộc cơ quan bảo trợ xã hội và do một quan chức bảo trợ xã hội chỉ định, để được tư vấn về đời sống hàng ngày của họ."	
handbook-187	この判決の確定後、速やかに、保護観察所に出頭して保護観察所の説明を受けてください。	"After this judgment becomes final, come to the probation office promptly and receive an explanation from the probation office."	判決确定后迅速到检察观察所报到并听取检察观察所的说明。	"Sau khi bản án có hiệu lực, bạn cần nhanh chóng đến cơ quan thi hành án hình sự và lắng nghe sự hướng dẫn của họ."	
handbook-188	保護観察所では、守らなければならない事項について指示されますが、もし、この遵守事項を守らない場合には、この刑の執行猶予を取り消されることがあります。	"In a probation office, you are instructed on the matters that must be observed, but if you do not observe these observance items, the suspension of execution of this sentence may be revoked."	在检察院须接受有关必须遵守事项的指示，如若不遵守这些事项，则可能撤销此刑罚的缓刑。	"Tại cơ quan thi hành án bảo hộ, sẽ được hướng dẫn về những điều bắt buộc phải tuân守 thì nếu không tuân守 điều này thì việc thi hành án treo có thể bị hủy bỏ."	
handbook-189	また、再び犯罪を犯して禁錮以上の刑に処せられた場合には法律上執行猶予を付けることができないので、そのようなことのないよう十分注意してください。	"Also, if you commit a crime again and are sentenced to imprisonment or more, a suspension of execution cannot be granted by law, so please be careful enough that such a thing does not happen."	并且，如果再次犯罪并被判处有期徒刑以上的刑罚，就会根据法律无法附加缓刑，所以请充分注意这一点。	"Nếu lại phạm tội và bị kết án tù có thời hạn hoặc cao hơn thì không được hưởng án treo theo luật, vì vậy hãy cẩn thận để không xảy ra tình huống như vậy."	
handbook-190	この判決に不服がある場合には、控訴〈上告〉の申立てをすることができます。	In the event that there is a disagreement with this judgment, it is possible to file a petition for appeal or an appeal.	对此判决不服的，可以提出上诉。	Nếu bạn không đồng ý với bản án này, bạn có thể làm đơn kháng cáo .
handbook-191	その場合には、明日から14日以内に○○高等裁判所<最高裁判所>あての控訴<上告>申立書をこの裁判所に差し出してください。	"In that case, please submit to this court an appealpetition to ○○ higher courtSupreme Court within 14 days from tomorrow."	在这种情况下，请在明日起十四日内向○○高等裁判所<最高裁判所>提出向本院提交的控诉<上诉>申请书。	"Trong trường hợp đó, ông cần nộp đơn kháng cáo đến Tòa án nhân dân tối cao trong vòng 14 ngày kể từ ngày mai tại tòa án này."	
handbook-192	被告人を懲役<禁錮>1年に処する。	The defendant shall be sentenced to imprisonment for a term of one year.	被告人被判处有期徒刑一年。	Bị cáo sẽ bị xử phạt tù <nhật> 1 năm.	
handbook-194	被告人を拘留10日に処する。	The defendant is sentenced to detention for 10 days.	被告人被拘留十日。	Bị cáo sẽ bị giam giữ 10 ngày.	
handbook-195	被告人を懲役1年以上2年以下に処する。	The defendant shall be sentenced to imprisonment for a term of not less than one year and not more than two years.	被告人被判处一年以上二年以下有期徒刑。	Xử phạt bị cáo từ 1 năm đến 2 năm tù.	
handbook-196	被告人を懲役1年及び罰金20万円に処する。	"The defendant shall be sentenced to imprisonment for 1 year and a fine of 200,000 yen."	被告人判处有期徒刑1年及罚款20万元。	Xử phạt bị cáo 1 năm tù và phạt tiền 200.000 yen.	
handbook-197	被告人を判示第1の罪について懲役1年に、判示第2の罪について懲役2年に処する。	The defendant is sentenced to imprisonment for 1 year for the crime of Indictment 1 and imprisonment for 2 years for the crime of Indictment 2.	被告人判示第1的罪关于处以徒刑1年，判示第2的罪关于处以徒刑2年。	"Bị cáo bị tuyên bố phạm tội thứ 1 trong bản án sẽ bị phạt tù 1 năm, và tội thứ 2 trong bản án sẽ bị phạt tù 2 năm."	
handbook-200	未決勾留日数中30日を、その1日を金5000円に換算して、その刑に算入する。	"The number of days of detention pending trial, 30 days of which will be calculated at 5,000 yen per day and included in the sentence."	未决羁押日数中30日，以其一日折合金5000円，折算入该刑罰。	"Trong số ngày tạm giam chưa được xử lý là 30 ngày, một ngày được quy đổi thành 5.000 yên và được tính vào刑 đó."	
